CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
06/20/2023,12:46,BROOKLYN,11207,40.673115,-73.88762,"(40.673115, -73.88762)",PITKIN AVENUE,BARBEY STREET,,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,4639533,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
06/20/2023,13:00,BRONX,10457,40.855595,-73.89601,"(40.855595, -73.89601)",FORD STREET,WEBSTER AVENUE,,1,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4639213,Sedan,E-Bike,,,
06/20/2023,17:33,QUEENS,11427,40.73346,-73.735466,"(40.73346, -73.735466)",HILLSIDE AVENUE,WINCHESTER BOULEVARD,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,4639342,Station Wagon/Sport Utility Vehicle,Sedan,Bike,,
06/20/2023,15:45,MANHATTAN,10012,40.728065,-73.99896,"(40.728065, -73.99896)",LAGUARDIA PLACE,BLEECKER STREET,,1,0,0,0,0,0,1,0,Unspecified,,,,,4639604,Sedan,,,,
06/20/2023,19:00,QUEENS,11413,40.679913,-73.73942,"(40.679913, -73.73942)",229 STREET,131 AVENUE,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,4639664,Moped,Station Wagon/Sport Utility Vehicle,,,
06/20/2023,2:15,,,40.87626,-73.90395,"(40.87626, -73.90395)",WEST 230 STREET,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4639730,Sedan,Sedan,,,
06/20/2023,0:00,BROOKLYN,11231,40.686478,-74.000046,"(40.686478, -74.000046)",,,477       HICKS STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4639313,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
06/20/2023,15:38,BROOKLYN,11223,40.59065,-73.96931,"(40.59065, -73.96931)",EAST 1 STREET,AVENUE X,,1,0,1,0,0,0,0,0,Unspecified,,,,,4639273,Station Wagon/Sport Utility Vehicle,,,,
06/20/2023,11:30,,,40.717014,-73.7994,"(40.717014, -73.7994)",GRAND CENTRAL PKWY,,,3,0,0,0,0,0,3,0,Following Too Closely,Following Too Closely,Unspecified,,,4639304,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,,
06/20/2023,12:40,,,40.66735,-73.76994,"(40.66735, -73.76994)",BELT PARKWAY,,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4639281,Sedan,,,,
06/20/2023,20:10,BROOKLYN,11223,40.602467,-73.96638,"(40.602467, -73.96638)",OCEAN PARKWAY,AVENUE S,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,4639338,Sedan,Sedan,,,
06/20/2023,8:00,,,40.692974,-73.90811,"(40.692974, -73.90811)",KNICKERBOCKER AVENUE,,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,4639241,Sedan,Box Truck,,,
06/20/2023,10:10,,,40.655632,-73.95987,"(40.655632, -73.95987)",FLATBUSH AVENUE,,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4639500,Station Wagon/Sport Utility Vehicle,,,,
06/20/2023,18:12,BROOKLYN,11207,40.67134,-73.89959,"(40.67134, -73.89959)",WILLIAMS AVENUE,PITKIN AVENUE,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,4639541,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
06/20/2023,11:03,BROOKLYN,11211,40.718693,-73.95466,"(40.718693, -73.95466)",DRIGGS AVENUE,NORTH 10 STREET,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,4639680,Sedan,Box Truck,,,
06/20/2023,8:05,,,40.60194,-74.08219,"(40.60194, -74.08219)",FINGERBOARD ROAD,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4639265,Pick-up Truck,Sedan,,,
06/20/2023,13:15,BROOKLYN,11236,40.63945,-73.89597,"(40.63945, -73.89597)",,,1721      ROCKAWAY PARKWAY,1,0,0,0,0,0,1,0,Reaction to Uninvolved Vehicle,Passing Too Closely,,,,4639323,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
06/20/2023,18:35,STATEN ISLAND,10312,40.532536,-74.192085,"(40.532536, -74.192085)",,,895       HUGUENOT AVENUE,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,4639431,Sedan,,,,
06/20/2023,23:55,,,40.846466,-73.87123,"(40.846466, -73.87123)",BRONX RIVER PARKWAY,,,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,4639654,Station Wagon/Sport Utility Vehicle,Sedan,,,
